"tree_name","bronx","brooklyn","manhattan","queens","staten_island"
"Acer campestre","0.0%","0.0%","0.0%","0.0%","0.0%"
"Acer campestre 'Evelyn'","0.5%","0.2%","0.0%","0.4%","0.5%"
"Acer ginnala 'Flame'","0.0%","0.0%","0.0%","0.0%","0.0%"
"Acer ginnala 'Ruby Slippers'","0.8%","0.0%","0.0%","0.4%","0.0%"
"Acer griseum","0.3%","0.3%","0.0%","0.4%","0.6%"
"Acer palmatum","0.0%","0.0%","0.0%","0.0%","0.0%"
"Acer plantanoides","0.0%","0.0%","0.0%","0.0%","0.0%"
"Acer pseudoplatanus 'Atropurpureum'","0.0%","0.0%","0.0%","0.0%","0.0%"
"Acer rubrum 'Red Sunset'","0.8%","0.8%","0.8%","0.8%","0.8%"
"Acer saccharinum","0.0%","0.0%","0.0%","0.0%","0.0%"
"Acer saccharum","0.0%","0.0%","0.0%","0.0%","0.0%"
"Acer tataricum 'Flame'","0.5%","0.3%","0.0%","0.2%","0.3%"
"Acer truncatum 'Norwegian Sunset'","0.5%","0.3%","0.0%","0.2%","0.3%"
"Aesculus hippocastanum 'Baumanni'","0.0%","0.2%","0.0%","0.4%","0.2%"
"Aesculus x carnea 'Fort Mcnair'","0.4%","0.3%","0.5%","0.2%","0.2%"
"Ailanthus altissima","0.0%","0.0%","0.0%","0.0%","0.0%"
"Amelanchier canadensis 'Robin Hill'","0.7%","1.7%","0.0%","2.2%","3.0%"
"Betula nigra 'Duraheat'","0.3%","0.3%","0.0%","0.2%","1.0%"
"Betula nigra 'Heritage'","0.0%","0.0%","0.0%","0.0%","0.0%"
"Carpinus betulus","1.0%","0.0%","0.0%","0.0%","0.0%"
"Carpinus betulus 'Fastigiata'","0.7%","0.5%","0.5%","0.5%","0.5%"
"Carpinus caroliniana","0.4%","0.4%","0.0%","0.2%","0.4%"
"Cedrus atlantica","0.0%","0.0%","0.0%","0.0%","0.0%"
"Celtis occidentalis","0.0%","0.0%","0.0%","0.0%","0.0%"
"Celtis occidentalis 'Magnifica'","4.0%","3.0%","3.0%","2.5%","2.1%"
"Cercidiphyllum japonicum","1.0%","0.8%","0.7%","0.7%","0.7%"
"Cercis canadensis","0.0%","0.0%","0.0%","0.0%","0.0%"
"Cercis canadensis 'Appalachain Red'","1.6%","2.5%","0.0%","2.1%","3.5%"
"Cercis canadensis 'Crosswicks Red'","0.0%","0.0%","0.0%","0.0%","0.0%"
"Cercis canadensis var. Alba","0.0%","0.0%","0.0%","0.0%","0.5%"
"Cercis reniformis 'Oklahoma'","0.5%","0.7%","0.0%","0.6%","0.8%"
"Chionanthus retusus","0.2%","0.2%","0.2%","0.2%","0.2%"
"Cladrastis kentukea","0.0%","0.0%","0.0%","0.4%","0.0%"
"Cladrastis kentukea 'Sweetshade'","0.4%","0.6%","0.4%","0.4%","0.4%"
"Cornus florida","0.0%","0.0%","0.0%","0.0%","0.0%"
"Cornus kousa 'Summer Stars'","0.3%","0.6%","0.0%","0.8%","1.1%"
"Cornus mas","0.0%","0.0%","0.0%","0.0%","0.0%"
"Cornus mas 'Spring Sun'","1.0%","0.2%","0.0%","0.8%","2.3%"
"Corylus colurna","0.8%","0.8%","1.6%","0.8%","0.6%"
"Cotinus coggygria","0.3%","0.4%","0.0%","0.4%","0.4%"
"Crataegus crusgalli var. inermis","2.7%","2.0%","0.5%","3.2%","3.6%"
"Crataegus viridis 'Winter King'","0.0%","0.0%","0.0%","0.0%","0.0%"
"Cryptomeria japonica 'Black Dragon'","0.2%","0.2%","0.2%","0.2%","0.2%"
"Eucommia ulmoides","2.6%","2.9%","3.0%","2.4%","0.9%"
"Fagus sylvatica 'Asplenifolia'","0.3%","0.3%","0.0%","0.4%","0.4%"
"Fagus sylvatica 'Dawyckii Purple'","0.3%","0.5%","0.0%","0.4%","0.4%"
"Fraxinus americana ","0.0%","0.0%","0.0%","0.0%","0.0%"
"Fraxinus pennsylvanica","0.0%","0.0%","0.0%","0.0%","0.0%"
"Ginkgo biloba 'Autumn Gold'","0.0%","0.0%","0.0%","0.0%","0.0%"
"Ginkgo biloba 'Princeton Sentry'","3.4%","3.5%","5.4%","2.6%","1.7%"
"Gleditsia triacanthos var. inermis 'Halka'","0.0%","0.0%","0.0%","0.0%","0.0%"
"Gleditsia triacanthos var. inermis 'Skyline'","4.6%","4.5%","5.3%","3.5%","3.5%"
"Gymnocladus dioicus","0.0%","0.0%","0.0%","0.0%","0.0%"
"Gymnocladus dioicus 'Espresso'","5.1%","4.5%","5.7%","3.0%","2.4%"
"Halesia carolina","0.0%","0.8%","0.0%","0.4%","0.8%"
"Hamemalis 'Helene'","0.0%","0.0%","0.0%","0.4%","0.0%"
"Juniperus virginiana","0.0%","0.0%","0.0%","0.0%","0.0%"
"Koelreuteria paniculata","0.0%","0.0%","0.0%","0.0%","0.0%"
"Koelreuteria paniculata 'Rose Lanterns'","2.8%","3.1%","2.7%","2.9%","3.1%"
"Lagerstroemia 'Natchez'","1.0%","0.8%","0.0%","0.7%","1.5%"
"Liquidambar styraciflua","0.0%","0.0%","0.0%","0.0%","0.0%"
"Liquidambar styraciflua 'Cherokee'","2.1%","2.5%","3.3%","1.7%","3.5%"
"Liriodendron tulipifera","0.5%","0.4%","0.4%","0.6%","0.2%"
"Maackia amurensis 'Starburst'","2.4%","2.7%","2.1%","2.9%","2.6%"
"Magnolia 'Butterflies'","0.0%","0.0%","0.0%","0.0%","0.0%"
"Magnolia 'Elizabeth'","0.4%","0.4%","0.2%","0.4%","0.4%"
"Malus 'Adams'","0.0%","0.0%","0.0%","0.0%","0.0%"
"Malus 'Prariefire'","0.7%","0.4%","0.0%","0.7%","1.0%"
"Metasequoia glyptostroboides","2.4%","2.5%","2.6%","1.9%","3.0%"
"Morus","0.0%","0.0%","0.0%","0.0%","0.0%"
"Nyssa sylvatica 'Red Rage'","0.4%","0.4%","0.4%","0.2%","1.2%"
"Ostrya virginiana","0.4%","0.4%","0.4%","0.4%","0.6%"
"Parrotia persica","0.5%","0.5%","0.4%","0.3%","0.5%"
"Picea abies","0.0%","0.0%","0.0%","0.0%","0.0%"
"Pinus sp.","0.0%","0.0%","0.0%","0.0%","0.0%"
"Platanus x acerifolia 'Bloodgood'","4.7%","2.5%","8.0%","4.0%","4.0%"
"Populus tremuloides","0.0%","0.0%","0.0%","0.0%","0.0%"
"Prunus cerasifera 'Thundercloud'","0.5%","0.6%","0.5%","1.0%","1.0%"
"Prunus 'Okame'","0.9%","0.5%","0.0%","0.7%","1.0%"
"Prunus 'Royal Burgundy'","0.0%","0.0%","0.0%","0.4%","0.5%"
"Prunus sargentii","0.0%","0.0%","0.0%","1.0%","0.5%"
"Prunus sargentii 'Columnaris'","0.0%","0.5%","0.0%","0.2%","0.8%"
"Prunus serotina","0.0%","0.0%","0.0%","0.0%","0.0%"
"Prunus serrulata 'Kwanzan'","0.5%","1.5%","0.5%","2.0%","2.5%"
"Prunus 'Snow Goose'","0.0%","0.0%","0.0%","1.0%","1.0%"
"Prunus subhirtella 'Autumnalis'","0.2%","0.5%","0.0%","0.7%","0.6%"
"Prunus virginiana 'Canada Red'","1.2%","1.7%","0.7%","2.0%","1.5%"
"Prunus x yedoensis 'Akebono'","1.2%","0.4%","0.5%","1.1%","0.8%"
"Pyrus calleryana 'Aristocrat'","0.0%","0.0%","0.0%","0.0%","0.0%"
"Pyrus calleryana 'Chanticleer'","0.5%","0.4%","0.7%","0.8%","0.0%"
"Pyrus calleryana 'Silver Ball'","0.0%","0.0%","0.0%","0.5%","0.5%"
"Quercus acutissima","2.1%","1.5%","0.8%","1.4%","0.8%"
"Quercus alba","1.2%","0.8%","0.8%","0.8%","0.8%"
"Quercus bicolor","1.8%","2.4%","1.8%","1.4%","1.6%"
"Quercus coccinea","0.5%","0.0%","0.4%","0.0%","0.0%"
"Quercus dentata","0.6%","0.6%","0.4%","0.7%","0.0%"
"Quercus imbricaria","0.0%","0.0%","1.1%","0.0%","0.0%"
"Quercus macrocarpa","1.2%","0.8%","0.8%","0.8%","0.5%"
"Quercus muhelnbergia","1.4%","0.8%","0.5%","1.0%","0.5%"
"Quercus palustris","2.1%","2.7%","4.1%","2.9%","3.0%"
"Quercus phellos","2.4%","1.5%","3.0%","2.8%","2.1%"
"Quercus prinus","0.0%","0.0%","0.5%","0.0%","0.0%"
"Quercus robur","1.7%","1.1%","2.1%","1.4%","0.8%"
"Quercus robur var. Fastigiata","0.2%","0.2%","0.0%","0.0%","0.0%"
"Quercus rubra","0.5%","0.8%","0.7%","0.8%","0.4%"
"Quercus shumardii","0.0%","0.0%","0.5%","0.0%","0.0%"
"Quercus texana","0.5%","0.6%","0.5%","0.4%","0.0%"
"Quercus velutina","0.0%","0.0%","0.5%","0.0%","0.0%"
"Robinia pseudoacacia 'Frisia'","0.0%","0.0%","0.0%","0.0%","0.0%"
"Robinia pseudoacacia 'Purple Robe'","0.3%","0.3%","0.0%","0.2%","0.0%"
"Stewartia koreana","0.3%","0.4%","0.0%","0.2%","0.6%"
"Styphnolobium japonicum 'Regent'","2.5%","2.5%","4.5%","2.5%","1.7%"
"Styrax japonica","0.0%","0.5%","0.0%","0.0%","0.8%"
"Styrax obbasia","0.0%","0.0%","0.0%","0.0%","0.8%"
"Syringa 'China Snow'","0.0%","0.0%","0.0%","0.0%","0.8%"
"Syringa reticulata 'Ivory Silk'","1.9%","2.9%","0.6%","2.9%","3.8%"
"Taxodium distichum","0.0%","0.0%","0.0%","0.0%","0.0%"
"Taxodium distichum 'Shawnee Brave'","1.9%","3.8%","3.5%","1.0%","3.4%"
"Tilia americana 'Redmond'","1.9%","2.7%","3.9%","3.9%","2.2%"
"Tilia cordata 'Glenlevyn'","0.8%","0.4%","0.7%","0.5%","0.4%"
"Tilia mongolica 'Harvest Gold'","0.4%","0.0%","0.0%","0.0%","0.5%"
"Tilia tomentosa 'Green Mountain'","0.0%","0.0%","0.0%","0.0%","0.0%"
"Tilia tomentosa 'Sterling'","2.3%","1.7%","3.5%","4.1%","2.2%"
"Tilia x euchlora 'Laurelhurst'","1.4%","2.7%","3.5%","1.9%","1.0%"
"Ulmus 'Accolade'","1.0%","0.9%","1.1%","0.7%","0.4%"
"Ulmus americana","0.0%","0.0%","0.0%","0.0%","0.0%"
"Ulmus parvifolia 'Allee'","0.7%","0.7%","1.0%","0.5%","0.4%"
"Zelkova serrata 'Green Vase'","6.8%","6.8%","7.0%","5.5%","3.0%"
"Zelkova serrata 'Mushashino'","1.2%","1.0%","0.9%","0.7%","0.5%"
"Zelkova serrata 'Wireless'","0.8%","1.1%","0.0%","0.5%","0.8%"
